epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.11,2.1066,4.81633,2.16653,0.48684,0.28283,0.18638,0.07838,1.90726,4.63831,1.95353,0.000364887,0.000364887,0.000364887
2,340.956,1.94902,4.01022,1.99718,0.46397,0.43137,0.44396,0.20766,1.84672,3.57487,1.94319,0.000662434,0.000662434,0.000662434
3,504.588,1.96592,3.63751,1.92852,0.39763,0.5639,0.52335,0.25561,1.93107,3.55217,1.94786,0.000886654,0.000886654,0.000886654
4,730.056,1.87592,3.19046,1.83697,0.56073,0.58356,0.60257,0.31625,1.78307,3.2712,1.79243,0.000781033,0.000781033,0.000781033
5,892.773,1.82841,2.93603,1.85433,0.62989,0.68284,0.65877,0.34442,1.68052,2.8761,1.79887,0.000671044,0.000671044,0.000671044
6,1054.58,1.7968,2.71526,1.81105,0.59509,0.56858,0.64043,0.34805,1.71508,2.6137,1.71299,0.000561055,0.000561055,0.000561055
7,1215.49,1.71943,2.46301,1.73874,0.83045,0.60281,0.71462,0.38494,1.70896,2.273,1.70189,0.000451066,0.000451066,0.000451066
8,1376.7,1.58653,2.22737,1.62607,0.81149,0.65375,0.76971,0.42264,1.54205,2.00319,1.59335,0.000341077,0.000341077,0.000341077
9,1543.98,1.54684,2.07293,1.59239,0.8049,0.71817,0.81278,0.46737,1.50979,1.89465,1.55076,0.000231088,0.000231088,0.000231088
10,1709.61,1.52091,1.96329,1.53058,0.91495,0.71142,0.83349,0.51007,1.44824,1.80537,1.49132,0.000121099,0.000121099,0.000121099
